platform_code,platform_name,manufacturer
PS2,PlayStation 2,Sony
DS,Nintendo DS,Nintendo
PS3,PlayStation 3,Sony
Wii,Wii,Nintendo
X360,Xbox 360,Microsoft
PSP,PlayStation Portable,Sony
PS,PlayStation,Sony
PC,PC,Various
XB,Xbox,Microsoft
GBA,Game Boy Advance,Nintendo
GC,GameCube,Nintendo
3DS,Nintendo 3DS,Nintendo
PSV,PlayStation Vita,Sony
PS4,PlayStation 4,Sony
N64,Nintendo 64,Nintendo
XOne,Xbox One,Microsoft
SNES,Super Nintendo,Nintendo
SAT,Sega Saturn,Sega
WiiU,Wii U,Nintendo
2600,Atari 2600,Atari
GB,Game Boy,Nintendo
NES,Nintendo Entertainment System,Nintendo
DC,Dreamcast,Sega
GEN,Sega Genesis,Sega
NG,Neo Geo,SNK
SCD,Sega CD,Sega
WS,WonderSwan,Bandai
3DO,3DO,3DO Company
TG16,TurboGrafx-16,NEC
GG,Game Gear,Sega
PCFX,PC-FX,NEC
